id,originalLabel,correction
ILSVRC2012_val_00023277,582,"930,963,868,923,813,415"
ILSVRC2012_val_00004014,614,"789,614"
ILSVRC2012_val_00043797,34,147
ILSVRC2012_val_00024105,671,"671,444"
ILSVRC2012_val_00021106,601,"689,601"
ILSVRC2012_val_00048369,663,698
ILSVRC2012_val_00042664,36,35
ILSVRC2012_val_00024667,809,"809,925"
ILSVRC2012_val_00036694,908,"908,404"
ILSVRC2012_val_00006791,370,-1
ILSVRC2012_val_00012585,534,-1
ILSVRC2012_val_00040631,460,975
ILSVRC2012_val_00043473,50,"49,50"
ILSVRC2012_val_00016048,689,"689,887"
ILSVRC2012_val_00023548,853,"977,978,853"
ILSVRC2012_val_00001523,961,930
ILSVRC2012_val_00028686,675,479
ILSVRC2012_val_00023450,27,"41,26"
ILSVRC2012_val_00012349,881,"579,881"
ILSVRC2012_val_00038876,511,"817,511,479"
ILSVRC2012_val_00029340,480,-1
ILSVRC2012_val_00009986,356,358
ILSVRC2012_val_00028311,689,"514,689"
ILSVRC2012_val_00024092,59,912
ILSVRC2012_val_00049283,906,-1
ILSVRC2012_val_00016583,838,-1
ILSVRC2012_val_00044982,912,-1
ILSVRC2012_val_00020613,171,205
ILSVRC2012_val_00014615,879,"879,689"
ILSVRC2012_val_00038691,928,"928,960"
ILSVRC2012_val_00016300,463,-1
ILSVRC2012_val_00048033,978,"814,977,978"
ILSVRC2012_val_00000762,424,"424,423"
ILSVRC2012_val_00025761,566,513
ILSVRC2012_val_00031247,923,-1
ILSVRC2012_val_00020647,615,-1
ILSVRC2012_val_00036387,673,"673,664,526,527,508"
ILSVRC2012_val_00028727,437,"525,718,437"
ILSVRC2012_val_00037068,485,-1
ILSVRC2012_val_00026772,698,-1
ILSVRC2012_val_00024557,119,125
ILSVRC2012_val_00005882,675,654
ILSVRC2012_val_00044484,359,-1
ILSVRC2012_val_00021289,893,748
ILSVRC2012_val_00013360,396,-1
ILSVRC2012_val_00002296,252,-1
ILSVRC2012_val_00032757,976,483
ILSVRC2012_val_00037722,618,-1
ILSVRC2012_val_00035334,906,"834,906"
ILSVRC2012_val_00034466,459,"459,445"
ILSVRC2012_val_00011653,666,"618,666"
ILSVRC2012_val_00034375,503,950
ILSVRC2012_val_00023050,556,905
ILSVRC2012_val_00040316,709,-1
ILSVRC2012_val_00017289,937,"937,938"
ILSVRC2012_val_00031452,469,"567,827,926"
ILSVRC2012_val_00049774,725,"849,505"
ILSVRC2012_val_00006146,152,155
ILSVRC2012_val_00007465,439,"566,439"
ILSVRC2012_val_00001126,463,"828,463"
ILSVRC2012_val_00039878,622,"622,759"
ILSVRC2012_val_00048330,236,"236,165"
ILSVRC2012_val_00029457,944,946
ILSVRC2012_val_00025723,282,281
ILSVRC2012_val_00016653,706,"762,853"
ILSVRC2012_val_00032241,636,"911,636"
ILSVRC2012_val_00031484,724,-1
ILSVRC2012_val_00015257,375,374
ILSVRC2012_val_00045452,542,-1
ILSVRC2012_val_00026480,751,479
ILSVRC2012_val_00042441,385,386
ILSVRC2012_val_00043399,264,-1
ILSVRC2012_val_00046423,248,-1
ILSVRC2012_val_00003944,482,"481,482"
ILSVRC2012_val_00010520,939,"939,943"
ILSVRC2012_val_00027160,4,"3,4"
ILSVRC2012_val_00001610,838,-1
ILSVRC2012_val_00041685,413,"615,652,465,413"
ILSVRC2012_val_00029578,885,-1
ILSVRC2012_val_00019953,123,-1
ILSVRC2012_val_00012616,858,"497,442,858"
ILSVRC2012_val_00028865,827,"544,827,469"
ILSVRC2012_val_00042482,482,"754,632"
ILSVRC2012_val_00023440,217,8
ILSVRC2012_val_00017513,909,926
ILSVRC2012_val_00037549,500,825
ILSVRC2012_val_00018513,737,"737,920,762"
ILSVRC2012_val_00031069,41,44
ILSVRC2012_val_00046918,107,-1
ILSVRC2012_val_00011159,843,"488,843"
ILSVRC2012_val_00017190,747,"422,747"
ILSVRC2012_val_00015356,639,"602,638,639"
ILSVRC2012_val_00029830,899,"899,521,532,412"
ILSVRC2012_val_00005983,708,"682,708"
ILSVRC2012_val_00010029,345,"690,345"
ILSVRC2012_val_00004899,910,"544,521,910,926"
ILSVRC2012_val_00020304,590,487
ILSVRC2012_val_00035061,899,"868,505"
ILSVRC2012_val_00029504,595,866
ILSVRC2012_val_00009697,119,"39,119"
ILSVRC2012_val_00032404,386,"386,101"
ILSVRC2012_val_00017824,879,"879,912"
ILSVRC2012_val_00029827,55,64
ILSVRC2012_val_00046985,25,"25,28"
ILSVRC2012_val_00035806,463,-1
ILSVRC2012_val_00041226,982,"834,522"
ILSVRC2012_val_00031238,485,-1
ILSVRC2012_val_00024195,775,"879,775"
ILSVRC2012_val_00029017,835,-1
ILSVRC2012_val_00027568,811,"811,281"
ILSVRC2012_val_00013586,757,-1
ILSVRC2012_val_00048022,543,"770,543"
ILSVRC2012_val_00027975,875,"513,875,819"
ILSVRC2012_val_00021307,522,"574,575"
ILSVRC2012_val_00010749,780,-1
ILSVRC2012_val_00025668,40,"40,46"
ILSVRC2012_val_00019987,109,"109,973"
ILSVRC2012_val_00046180,123,122
ILSVRC2012_val_00018344,473,-1
ILSVRC2012_val_00021740,0,391
ILSVRC2012_val_00042439,828,"868,968,849,505,828"
ILSVRC2012_val_00043371,544,"469,567,505"
ILSVRC2012_val_00030975,865,509
ILSVRC2012_val_00000593,129,132
ILSVRC2012_val_00038820,928,"928,927"
ILSVRC2012_val_00036316,910,-1
ILSVRC2012_val_00041190,316,-1
ILSVRC2012_val_00025684,238,"241,238"
ILSVRC2012_val_00040886,488,"772,869,488,464"
ILSVRC2012_val_00032281,919,"919,858"
ILSVRC2012_val_00047480,667,"529,667"
ILSVRC2012_val_00022829,730,"427,756"
ILSVRC2012_val_00008544,742,"713,742"
ILSVRC2012_val_00021700,691,"801,983"
ILSVRC2012_val_00012635,183,-1
ILSVRC2012_val_00042632,824,"514,655,824"
ILSVRC2012_val_00045738,733,-1
ILSVRC2012_val_00001491,555,"919,920,555,733"
ILSVRC2012_val_00004524,698,"698,483"
ILSVRC2012_val_00048559,695,"488,695"
ILSVRC2012_val_00045303,827,"849,827"
ILSVRC2012_val_00003650,101,"385,386"
ILSVRC2012_val_00037826,167,-1
ILSVRC2012_val_00030547,768,"768,836,842"
ILSVRC2012_val_00005860,101,"386,101"
ILSVRC2012_val_00039716,675,867
ILSVRC2012_val_00026190,68,-1
ILSVRC2012_val_00007899,638,"638,639"
ILSVRC2012_val_00017670,645,"853,645"
ILSVRC2012_val_00020676,230,231
ILSVRC2012_val_00049382,444,"518,444"
ILSVRC2012_val_00029772,717,"581,479,717"
ILSVRC2012_val_00011720,427,425
ILSVRC2012_val_00038182,310,-1
ILSVRC2012_val_00013411,341,342
ILSVRC2012_val_00021642,238,222
ILSVRC2012_val_00046670,202,189
ILSVRC2012_val_00035971,998,"987,998"
ILSVRC2012_val_00012133,602,638
ILSVRC2012_val_00046713,633,"633,937,333"
ILSVRC2012_val_00031823,166,"162,167"
ILSVRC2012_val_00001943,604,"921,604"
ILSVRC2012_val_00024065,759,732
ILSVRC2012_val_00026432,523,842
ILSVRC2012_val_00025885,721,"968,721"
ILSVRC2012_val_00027102,80,82
ILSVRC2012_val_00024286,657,"744,657"
ILSVRC2012_val_00018527,875,"875,819"
ILSVRC2012_val_00020819,459,"459,445"
ILSVRC2012_val_00017642,747,"836,747"
ILSVRC2012_val_00041587,614,"614,879"
ILSVRC2012_val_00039851,171,173
ILSVRC2012_val_00040530,828,-1
ILSVRC2012_val_00015440,445,"836,837,842,445"
ILSVRC2012_val_00008791,978,"977,978"
ILSVRC2012_val_00016186,400,"400,667"
ILSVRC2012_val_00021326,541,"819,541,542"
ILSVRC2012_val_00015676,799,"738,559"
ILSVRC2012_val_00001813,21,-1
ILSVRC2012_val_00037279,912,"489,59"
ILSVRC2012_val_00022765,317,318
ILSVRC2012_val_00033972,413,"652,413"
ILSVRC2012_val_00011245,367,369
ILSVRC2012_val_00022488,769,-1
ILSVRC2012_val_00049099,762,923
ILSVRC2012_val_00045665,197,198
ILSVRC2012_val_00049548,442,"442,494"
ILSVRC2012_val_00030884,434,"434,912"
ILSVRC2012_val_00044441,158,237
ILSVRC2012_val_00000565,338,"617,338"
ILSVRC2012_val_00041762,188,189
ILSVRC2012_val_00015314,582,948
ILSVRC2012_val_00015060,525,-1
ILSVRC2012_val_00012194,530,531
ILSVRC2012_val_00031471,642,"642,462"
ILSVRC2012_val_00030601,789,"706,789,539,799"
ILSVRC2012_val_00003375,46,44
ILSVRC2012_val_00016907,580,-1
ILSVRC2012_val_00016825,393,"393,973"
ILSVRC2012_val_00022978,966,"907,572,966"
ILSVRC2012_val_00012070,597,"597,763"
ILSVRC2012_val_00027621,980,977
ILSVRC2012_val_00004292,477,"587,784"
ILSVRC2012_val_00005391,655,"610,655"
ILSVRC2012_val_00002544,978,"977,978,879"
ILSVRC2012_val_00017001,498,-1
ILSVRC2012_val_00020376,326,-1
ILSVRC2012_val_00047965,597,"763,597"
ILSVRC2012_val_00032129,40,"44,26"
ILSVRC2012_val_00031047,552,-1
ILSVRC2012_val_00002201,889,"683,889"
ILSVRC2012_val_00037836,297,"297,295"
ILSVRC2012_val_00037101,172,159
ILSVRC2012_val_00046725,633,"453,633"
ILSVRC2012_val_00025564,134,975
ILSVRC2012_val_00043478,431,"431,281"
ILSVRC2012_val_00032315,516,"516,431"
ILSVRC2012_val_00012099,422,543
ILSVRC2012_val_00038220,906,"834,906"
ILSVRC2012_val_00019227,699,"775,699"
ILSVRC2012_val_00048308,479,"479,817"
ILSVRC2012_val_00043282,247,"555,247"
ILSVRC2012_val_00008913,643,-1
ILSVRC2012_val_00037964,664,"673,681,526,527,664,508"
ILSVRC2012_val_00019028,261,-1
ILSVRC2012_val_00022992,82,-1
ILSVRC2012_val_00037659,386,"385,386"
ILSVRC2012_val_00000156,272,274
ILSVRC2012_val_00011590,292,"291,292"
ILSVRC2012_val_00024455,852,"752,852"
ILSVRC2012_val_00010687,909,"809,909,926"
ILSVRC2012_val_00034189,928,"928,923,960,927"
ILSVRC2012_val_00005541,760,"232,760"
ILSVRC2012_val_00000927,673,-1
ILSVRC2012_val_00002519,790,588
ILSVRC2012_val_00039427,705,820
ILSVRC2012_val_00022208,765,"706,765"
ILSVRC2012_val_00005460,665,518
ILSVRC2012_val_00020689,539,"421,539"
ILSVRC2012_val_00002632,865,850
ILSVRC2012_val_00023540,598,"548,851"
ILSVRC2012_val_00012148,664,"527,916,664"
ILSVRC2012_val_00005630,570,-1
ILSVRC2012_val_00032862,326,322
ILSVRC2012_val_00006218,56,-1
ILSVRC2012_val_00036225,80,-1
ILSVRC2012_val_00035020,709,"418,709,710,767"
ILSVRC2012_val_00047514,494,"494,442"
ILSVRC2012_val_00025587,817,"479,817"
ILSVRC2012_val_00030094,21,-1
ILSVRC2012_val_00028163,840,"840,462"
ILSVRC2012_val_00045763,180,-1
ILSVRC2012_val_00024670,706,"825,706"
ILSVRC2012_val_00003587,566,513
ILSVRC2012_val_00038132,331,330
ILSVRC2012_val_00040162,846,"619,846"
ILSVRC2012_val_00010350,851,"553,851"
ILSVRC2012_val_00003839,288,-1
ILSVRC2012_val_00013918,285,282
ILSVRC2012_val_00011865,978,"483,975"
ILSVRC2012_val_00007322,931,933
ILSVRC2012_val_00005695,299,"298,299"
ILSVRC2012_val_00046611,121,118
ILSVRC2012_val_00039262,527,"527,592,782,664,508"
ILSVRC2012_val_00049591,426,892
ILSVRC2012_val_00028644,107,-1
ILSVRC2012_val_00002307,357,356
ILSVRC2012_val_00047825,968,"968,504"
ILSVRC2012_val_00037136,717,"581,479,717"
ILSVRC2012_val_00041213,126,"712,126"
ILSVRC2012_val_00041843,429,"429,527,916,664"
ILSVRC2012_val_00031533,494,"616,494"
ILSVRC2012_val_00003309,953,"950,953"
ILSVRC2012_val_00007346,665,670
ILSVRC2012_val_00004152,961,923
ILSVRC2012_val_00011655,753,-1
ILSVRC2012_val_00028252,556,-1
ILSVRC2012_val_00035931,525,-1
ILSVRC2012_val_00036174,548,"664,782,527"
ILSVRC2012_val_00048952,7,"8,7"
ILSVRC2012_val_00047606,598,"851,632"
ILSVRC2012_val_00018830,395,-1
ILSVRC2012_val_00029400,504,"968,504"
ILSVRC2012_val_00013749,558,"650,558,819"
ILSVRC2012_val_00037538,238,"240,241,238"
ILSVRC2012_val_00021557,370,374
ILSVRC2012_val_00007851,509,582
